web-scraper-order,web-scraper-start-url,category-selector,category-selector-href,list-selector,list-selector-href,people-selector,people-selector-href,height,weight,image-src
"1588827257-13468","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","K","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=K","Kamiki Ryunosuke","https://wiki.d-addicts.com/Kamiki_Ryunosuke","168","null","/images/thumb/d/d2/Ryunosuke_Kamiki.jpg/200px-Ryunosuke_Kamiki.jpg"
"1588819336-7793","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","N","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=N","Nishiyama Maki","https://wiki.d-addicts.com/Nishiyama_Maki","168","48","/images/thumb/f/f5/Nishiyama_Maki.jpg/300px-Nishiyama_Maki.jpg"
"1588820078-8358","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","M","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=M","Matsumoto Misaki","https://wiki.d-addicts.com/Matsumoto_Misaki","null","null","/images/thumb/1/1a/Misakimatsumoto.jpg/200px-Misakimatsumoto.jpg"
"1588827835-13904","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","I","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=I","Ida Kunihiko","https://wiki.d-addicts.com/Ida_Kunihiko","null","null","/images/4/40/IdaKunihiko.jpg"
"1588818565-7280","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","S","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=S","Sasaki Nanaka","https://wiki.d-addicts.com/Sasaki_Nanaka","158","null","/images/thumb/3/38/Sasaki_Nanaka.jpg/300px-Sasaki_Nanaka.jpg"
"1588824719-11481","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","S","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=S","Shibuya Tatsuki","https://wiki.d-addicts.com/Shibuya_Tatsuki","163","null","/images/thumb/4/4b/Shibuya_Tatsuki.jpg/300px-Shibuya_Tatsuki.jpg"
"1588823953-10948","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","T","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=T","Tokuyama Hidenori","https://wiki.d-addicts.com/Tokuyama_Hidenori","178","58","/images/2/2d/Tokuyama_Hidenori.jpg"
"1588819360-7811","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","N","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=N","Nishihara Aki","https://wiki.d-addicts.com/Nishihara_Aki","161","null","/images/0/09/Nishihara_Aki.jpg"
"1588820416-8606","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","K","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=K","Kiuchi Miho","https://wiki.d-addicts.com/Kiuchi_Miho","159","null","/images/f/f4/Picture.jpg"
"1588828186-14170","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","H","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=H","Hatakeyama Takanori","https://wiki.d-addicts.com/Hatakeyama_Takanori","null","null",""
"1588822614-9997","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","E","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=E","Eguchi Noriko","https://wiki.d-addicts.com/Eguchi_Noriko","170","null","/images/d/d5/Eguchi-Noriko.jpg"
"1588821539-9333","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","I","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=I","Ichinohe Nami","https://wiki.d-addicts.com/Ichinohe_Nami","163","null","/images/8/8f/IchinoheNami1.jpg"
"1588817928-6785","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","T","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=T","Takahashi Mariko","https://wiki.d-addicts.com/Takahashi_Mariko","171","50","/images/7/71/Reiko.jpg"
"1588816508-5662","https://wiki.d-addicts.com/Category:JArtist","JDirector","https://wiki.d-addicts.com/Category:JDirector","H","https://wiki.d-addicts.com/index.php?title=Category:JDirector&from=H","Hoshino Kazunari","https://wiki.d-addicts.com/Hoshino_Kazunari","null","null",""
"1588817646-6589","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","T","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=T","Tani Kanon","https://wiki.d-addicts.com/Tani_Kanon","150","null","/images/thumb/7/79/Tanikanon.jpg/200px-Tanikanon.jpg"
"1588816541-5694","https://wiki.d-addicts.com/Category:JArtist","JDirector","https://wiki.d-addicts.com/Category:JDirector","H","https://wiki.d-addicts.com/index.php?title=Category:JDirector&from=H","Harada Masato","https://wiki.d-addicts.com/Harada_Masato","null","null","/images/6/62/Harada_Masato.jpg"
"1588821039-9046","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","I","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=I","Ito Erika","https://wiki.d-addicts.com/Ito_Erika","157","null",""
"1588819613-8022","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","N","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=N","Nagasawa Masami","https://wiki.d-addicts.com/Nagasawa_Masami","168","43","/images/4/44/NagasawaMasami.jpg"
"1588813621-2613","https://wiki.d-addicts.com/Category:JArtist","JSinger","https://wiki.d-addicts.com/Category:JSinger","M","https://wiki.d-addicts.com/index.php?title=Category:JSinger&from=M","Miyatake Matsuri","https://wiki.d-addicts.com/Miyatake_Matsuri","154","null","/images/3/3d/Miyatakematsuri.jpg"
