web-scraper-order,web-scraper-start-url,category-selector,category-selector-href,people,people-href,height,weight,image-src
"1588813277-2201","https://wiki.d-addicts.com/Category:Singers","JSinger","https://wiki.d-addicts.com/Category:JSinger","Ide Takuya","https://wiki.d-addicts.com/Ide_Takuya","174","null","/images/f/f8/Ide_Takuya.jpg"
"1588813614-2600","https://wiki.d-addicts.com/Category:Singers","JSinger","https://wiki.d-addicts.com/Category:JSinger","Fuku Manami","https://wiki.d-addicts.com/Fuku_Manami","161","null","/images/8/82/Fuku_Manami.jpg"
"1588814886-4133","https://wiki.d-addicts.com/Category:Singers","CSinger","https://wiki.d-addicts.com/Category:CSinger","Qu Ying","https://wiki.d-addicts.com/Qu_Ying","175","53","/images/6/65/QuYing.jpg"
"1588812482-1277","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Han Sun Hwa","https://wiki.d-addicts.com/Han_Sun_Hwa","165","46","/images/thumb/c/cc/Han_Sun_Hwa.jpg/300px-Han_Sun_Hwa.jpg"
"1588812531-1327","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Han Chae Ah","https://wiki.d-addicts.com/Han_Chae_Ah","167","45","/images/thumb/3/38/HanChaeAh.jpg/300px-HanChaeAh.jpg"
"1588813756-2772","https://wiki.d-addicts.com/Category:Singers","JSinger","https://wiki.d-addicts.com/Category:JSinger","Becky","https://wiki.d-addicts.com/Becky","157","43","/images/7/7b/Becky.jpg"
"1588814322-3482","https://wiki.d-addicts.com/Category:Singers","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","Gigi Leung","https://wiki.d-addicts.com/Gigi_Leung","176","55","/images/3/39/GigiLeung.jpg"
"1588815595-4843","https://wiki.d-addicts.com/Category:Singers","CSinger","https://wiki.d-addicts.com/Category:CSinger","A Lu A Zhuo","https://wiki.d-addicts.com/A_Lu_A_Zhuo","null","null","/images/8/8f/ALuAZhuo.jpg"
"1588814526-3731","https://wiki.d-addicts.com/Category:Singers","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","Benny Chan","https://wiki.d-addicts.com/Benny_Chan","174","70","/images/thumb/0/01/Bennychan.jpg/300px-Bennychan.jpg"
"1588814855-4096","https://wiki.d-addicts.com/Category:Singers","CSinger","https://wiki.d-addicts.com/Category:CSinger","Shao Feng","https://wiki.d-addicts.com/Shao_Feng","182","72","/images/7/75/ShaoFeng.jpg"
"1588813620-2612","https://wiki.d-addicts.com/Category:Singers","JSinger","https://wiki.d-addicts.com/Category:JSinger","Fujiwara Sakura","https://wiki.d-addicts.com/Fujiwara_Sakura","null","null","/images/5/5a/Fujiwara_Sakura.jpg"
"1588812228-946","https://wiki.d-addicts.com/Category:Singers","SGSinger","https://wiki.d-addicts.com/Category:SGSinger","Stella Huang","https://wiki.d-addicts.com/Stella_Huang","160","44","/images/f/fa/Stella.jpg"
"1588812704-1529","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","E-young","https://wiki.d-addicts.com/E-young","167","45","/images/thumb/d/de/E-young.jpg/300px-E-young.jpg"
